site,lead_scenario,episode,steps,init_inv_frac,EENS_kWh,outage_hours,uptime_pct,diesel_kWh,stockout_events,orders_placed,violations,mean_soc,mean_inv_pct,min_inv_pct,dg_on_fraction,grid_kWh,cost_proxy,policy,seed,train_scenario,experiment_tag,train_steps,init_low,init_high,episode_len
site5,monsoon,0,360,0.7643736291335781,821.6868000000001,124,65.5556,603.40432,0,2,0,0.3842545123095806,0.22277407003835406,0.059844925189407726,0.375,900.4480000000001,963.58352,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,1,360,0.6913795576205464,227.07872,38,89.4444,638.4605200000001,0,4,0,0.5947028463648832,0.496907911223365,0.06601161041369542,0.4305555555555556,1401.3759047619048,1199.010881904762,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,2,360,0.37353930580432293,214.51876,34,90.5556,1083.0786,0,6,0,0.3759821763771569,0.34300968457252706,0.064336197347963,0.7222222222222222,1036.828380952381,1497.8099523809524,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,3,360,0.6438783941685035,166.16652,26,92.7778,1178.9334800000001,0,7,0,0.3683312215724497,0.33853750167483493,0.057241094024001266,0.7472222222222222,967.6094285714285,1565.9772514285714,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,4,360,0.8433625660141872,0.0,0,100.0,719.32776,0,4,0,0.5887594623131904,0.5445046605079457,0.18156195204744255,0.6527777777777778,1690.3537142857144,1395.469245714286,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,5,360,0.7450811967855364,0.0,0,100.0,1131.8933200000001,0,7,0,0.4460941944624937,0.5691367410576589,0.2563065332353169,0.8138888888888889,1179.34,1603.62932,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,6,360,0.5326199233713568,0.0,0,100.0,782.8446799999999,0,5,0,0.5593307071691574,0.5728549519202922,0.2682055557504443,0.6333333333333333,1511.1631428571427,1387.309937142857,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,7,360,0.5177125153656817,597.80676,98,72.7778,452.99212,0,2,0,0.4391789356364161,0.15796693902641207,0.05944673835147782,0.33055555555555555,1325.872380952381,983.3410723809525,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,8,360,0.7724536151319743,3.8180000000000005,1,99.7222,1019.40336,0,6,0,0.5425941944624937,0.4892003314679438,0.0694452446742958,0.6305555555555555,1271.8353333333334,1528.1374933333334,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
site5,monsoon,9,360,0.8654647177622501,0.0,0,100.0,637.4453599999999,0,3,0,0.6228981661973865,0.5976404010018752,0.29634771114978814,0.5805555555555556,1685.6388571428572,1311.7009028571429,stoch_trained,42,normal,stochastic_grid,400000,0.3,0.9,360
